accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.096,mnist,38,68,20,10,784,60000,0.043,895
0.098,mnist,38,68,50,10,784,60000,0.043,1723
0.833,mnist,38,69,2,10,784,60000,0.043,609
0.139,mnist,38,69,5,10,784,60000,0.043,414
0.114,mnist,38,69,10,10,784,60000,0.043,591
0.114,mnist,38,69,20,10,784,60000,0.043,865
0.096,mnist,38,69,50,10,784,60000,0.043,1712
0.825,mnist,38,70,2,10,784,60000,0.043,616
0.43,mnist,38,70,5,10,784,60000,0.043,418
0.098,mnist,38,70,10,10,784,60000,0.043,576
0.101,mnist,38,70,20,10,784,60000,0.043,891
0.114,mnist,38,70,50,10,784,60000,0.043,1675
0.844,mnist,38,71,2,10,784,60000,0.043,666
0.089,mnist,38,71,5,10,784,60000,0.043,400
0.167,mnist,38,71,10,10,784,60000,0.043,602
0.114,mnist,38,71,20,10,784,60000,0.043,893
0.114,mnist,38,71,50,10,784,60000,0.043,1753
0.821,mnist,38,72,2,10,784,60000,0.043,624
0.308,mnist,38,72,5,10,784,60000,0.043,426
0.098,mnist,38,72,10,10,784,60000,0.043,589
0.096,mnist,38,72,20,10,784,60000,0.043,923
0.098,mnist,38,72,50,10,784,60000,0.043,1786
0.822,mnist,38,73,2,10,784,60000,0.043,653
0.184,mnist,38,73,5,10,784,60000,0.043,421
0.103,mnist,38,73,10,10,784,60000,0.043,605
0.103,mnist,38,73,20,10,784,60000,0.043,951
0.114,mnist,38,73,50,10,784,60000,0.043,1763
0.834,mnist,38,74,2,10,784,60000,0.043,614
0.287,mnist,38,74,5,10,784,60000,0.043,453
0.098,mnist,38,74,10,10,784,60000,0.043,594
0.098,mnist,38,74,20,10,784,60000,0.043,918
0.098,mnist,38,74,50,10,784,60000,0.043,1770
0.805,mnist,38,75,2,10,784,60000,0.043,622
0.411,mnist,38,75,5,10,784,60000,0.043,463
0.103,mnist,38,75,10,10,784,60000,0.043,583
0.098,mnist,38,75,20,10,784,60000,0.043,919
0.114,mnist,38,75,50,10,784,60000,0.043,1794
0.794,mnist,38,76,2,10,784,60000,0.043,625
0.104,mnist,38,76,5,10,784,60000,0.043,445
0.114,mnist,38,76,10,10,784,60000,0.043,599
0.114,mnist,38,76,20,10,784,60000,0.043,937
0.098,mnist,38,76,50,10,784,60000,0.043,1830
