accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.805,fashion_mnist,8,4,5,10,784,60000,0.047,126
0.801,fashion_mnist,8,4,10,10,784,60000,0.047,160
0.793,fashion_mnist,8,4,20,10,784,60000,0.047,223
0.762,fashion_mnist,8,4,50,10,784,60000,0.047,378
0.609,fashion_mnist,8,5,2,10,784,60000,0.047,399
0.802,fashion_mnist,8,5,5,10,784,60000,0.047,138
0.803,fashion_mnist,8,5,10,10,784,60000,0.047,175
0.797,fashion_mnist,8,5,20,10,784,60000,0.047,241
0.694,fashion_mnist,8,5,50,10,784,60000,0.047,403
0.597,fashion_mnist,8,6,2,10,784,60000,0.047,322
0.808,fashion_mnist,8,6,5,10,784,60000,0.047,165
0.801,fashion_mnist,8,6,10,10,784,60000,0.047,184
0.791,fashion_mnist,8,6,20,10,784,60000,0.047,295
0.687,fashion_mnist,8,6,50,10,784,60000,0.047,484
0.593,fashion_mnist,8,7,2,10,784,60000,0.047,312
0.799,fashion_mnist,8,7,5,10,784,60000,0.047,148
0.808,fashion_mnist,8,7,10,10,784,60000,0.047,192
0.791,fashion_mnist,8,7,20,10,784,60000,0.047,268
0.643,fashion_mnist,8,7,50,10,784,60000,0.047,456
0.588,fashion_mnist,8,8,2,10,784,60000,0.047,358
0.8,fashion_mnist,8,8,5,10,784,60000,0.047,170
0.74,fashion_mnist,8,8,10,10,784,60000,0.047,237
0.638,fashion_mnist,8,8,20,10,784,60000,0.047,311
0.512,fashion_mnist,8,8,50,10,784,60000,0.047,512
0.588,fashion_mnist,8,9,2,10,784,60000,0.047,315
0.801,fashion_mnist,8,9,5,10,784,60000,0.047,152
0.805,fashion_mnist,8,9,10,10,784,60000,0.047,208
0.678,fashion_mnist,8,9,20,10,784,60000,0.047,278
0.544,fashion_mnist,8,9,50,10,784,60000,0.047,485
0.59,fashion_mnist,8,10,2,10,784,60000,0.047,320
0.802,fashion_mnist,8,10,5,10,784,60000,0.047,155
0.653,fashion_mnist,8,10,10,10,784,60000,0.047,215
0.689,fashion_mnist,8,10,20,10,784,60000,0.047,299
